aggregatedDataID,parameterWaterBodyCategory,procedureAnalysedMatrix,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,procedureLOQValue,resultNumberOfSamples,resultQualityNumberOfSamplesBelowLOQ,resultQualityMinimumBelowLOQ,resultMinimumValue,resultQualityMeanBelowLOQ,resultMeanValue,resultQualityMaximumBelowLOQ,resultMaximumValue,resultQualityMedianBelowLOQ,resultMedianValue,resultStandardDeviationValue,resultNumberOfSitesClass1,resultNumberOfSitesClass2,resultNumberOfSitesClass3,resultNumberOfSitesClass4,resultNumberOfSitesClass5,resultObservationStatus,remarks,metadata_versionId,metadata_beginLifeSpanVersion,metadata_statusCode,metadata_observationStatus,metadata_statements,UID
1,GW,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15983
2,GW,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.02,,0.02,,0.02,,0.02,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15989
3,GW,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15988
4,GW,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15986
5,GW,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15977
6,GW,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,1.0,,1.0,,1.0,,1.0,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15987
7,GW,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15982
8,GW,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15985
9,GW,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,1.0,,1.0,,1.0,,1.0,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15984
10,GW,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,0.5,,3.75,,7.0,,3.75,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15981
11,GW,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,2.0,,2.0,,2.0,,2.0,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15990
12,GW,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15995
13,GW,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15994
14,GW,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,2.0,,2.0,,2.0,,2.0,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15996
15,GW,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,4,0,,0.01,,0.01,,0.01,,0.01,,2,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",16001
16,GW,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15997
17,GW,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,4,0,,2.0,,3.25,,5.0,,4.0,,2,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15999
18,GW,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15998
19,GW,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15991
20,GW,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15976
21,GW,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15967
22,GW,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,4,0,,5,,5,,5,,5,,2,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",16000
23,GW,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,2.0,,2.5,,3.0,,2.5,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15993
24,GW,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.08,,0.16,,0.08,,0,1,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15968
25,GW,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15992
26,GW,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,6.0,,6.0,,6.0,,6.0,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15975
27,GW,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,0.5,,0.5,,0.5,,0.5,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15966
28,GW,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,4,0,,5,,5,,5,,5,,2,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15934
29,GW,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,1,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15937
30,GW,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,6,0,,5,,5,,5,,5,,3,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15940
31,GW,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15932
32,GW,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,4,0,,3.0,,4.5,,6.0,,4.5,,2,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15933
33,GW,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,4,0,,0.01,,0.01,,0.01,,0.01,,2,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15935
34,GW,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,6,0,,3.0,,8.83,,15.0,,8.75,,2,1,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15939
35,GW,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,1,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15938
36,GW,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15931
37,GW,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,1,0,,6.0,,6.0,,6.0,,6.0,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15936
