aggregatedDataID,waterBodyIdentifier,parameterWaterBodyCategory,observedPropertyDeterminandID,procedureAnalysedMatrix,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,procedureLOQValue,resultNumberOfSamples,resultQualityNumberOfSamplesBelowLOQ,resultQualityMinimumBelowLOQ,resultMinimumValue,resultQualityMeanBelowLOQ,resultMeanValue,resultQualityMaximumBelowLOQ,resultMaximumValue,resultQualityMedianBelowLOQ,resultMedianValue,resultStandardDeviationValue,resultNumberOfSitesClass1,resultNumberOfSitesClass2,resultNumberOfSitesClass3,resultNumberOfSitesClass4,resultNumberOfSitesClass5,resultObservationStatus,remarks,metadata_versionId,metadata_beginLifeSpanVersion,metadata_statusCode,metadata_observationStatus,metadata_statements,UID
1,16,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15983
2,18,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.02,,0.02,,0.02,,0.02,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15989
3,18,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15988
4,17,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15986
5,15,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15977
6,18,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,1.0,,1.0,,1.0,,1.0,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15987
7,16,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15982
8,17,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15985
9,17,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,1.0,,1.0,,1.0,,1.0,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15984
10,16,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,0.5,,3.75,,7.0,,3.75,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15981
11,19,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,2.0,,2.0,,2.0,,2.0,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15990
12,20,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15995
13,20,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15994
14,21,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,2.0,,2.0,,2.0,,2.0,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15996
15,22,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,4,0,,0.01,,0.01,,0.01,,0.01,,2,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",16001
16,21,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15997
17,22,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,4,0,,2.0,,3.25,,5.0,,4.0,,2,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15999
18,21,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15998
19,19,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15991
20,15,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15976
21,14,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15967
22,22,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,4,0,,5,,5,,5,,5,,2,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",16000
23,20,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,2.0,,2.5,,3.0,,2.5,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15993
24,14,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.08,,0.16,,0.08,,0,1,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15968
25,19,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15992
26,15,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,6.0,,6.0,,6.0,,6.0,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15975
27,14,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,0.5,,0.5,,0.5,,0.5,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15966
28,3,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,4,0,,5,,5,,5,,5,,2,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15934
29,4,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,1,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15937
30,5,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,6,0,,5,,5,,5,,5,,3,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15940
31,2,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15932
32,3,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,4,0,,3.0,,4.5,,6.0,,4.5,,2,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15933
33,3,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,4,0,,0.01,,0.01,,0.01,,0.01,,2,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15935
34,5,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,6,0,,3.0,,8.83,,15.0,,8.75,,2,1,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15939
35,4,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,1,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15938
36,2,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15931
37,4,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,1,0,,6.0,,6.0,,6.0,,6.0,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15936
