aggregatedDataID,waterBodyIdentifier,parameterWaterBodyCategory,observedPropertyDeterminandID,procedureAnalysedMatrix,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,procedureLOQValue,resultNumberOfSamples,resultQualityNumberOfSamplesBelowLOQ,resultQualityMinimumBelowLOQ,resultMinimumValue,resultQualityMeanBelowLOQ,resultMeanValue,resultQualityMaximumBelowLOQ,resultMaximumValue,resultQualityMedianBelowLOQ,resultMedianValue,resultStandardDeviationValue,resultNumberOfSitesClass1,resultNumberOfSitesClass2,resultNumberOfSitesClass3,resultNumberOfSitesClass4,resultNumberOfSitesClass5,resultObservationStatus,remarks,metadata_versionId,metadata_beginLifeSpanVersion,metadata_statusCode,metadata_observationStatus,metadata_statements,UID
38,26,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,0.0,12,0,,,,22.33333,,,,,,,,,,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_OUTLIER_LIMIT_MAX: Possible outlier - the highest reported result value is higher than the maximum limit set for the respective observed property (result value: 22.3333, limitMax: 10.000)",15926
39,6,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15943
40,5,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,6,0,,0.01,,0.01,,0.01,,0.01,,3,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15941
41,11,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15958
42,8,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,10,0,,0.01,,12,,0.02,,0.01,,,,,,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15950
43,12,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15961
44,1,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15928
45,1,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15929
46,7,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,4,0,,0.01,,13,,0.02,,0.01,,2,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15947
47,10,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.06,,65,,0.07,,65,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15956
48,6,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15944
49,12,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15962
50,2,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,7.0,,7.0,,7.0,,7.0,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15930
51,7,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,4,0,,5,,5,,5,,5,,2,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15946
52,13,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15964
53,8,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,10,0,,5,,5,,5,,5,,,,,,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15949
54,12,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,17.0,,17.0,,17.0,,17.0,,0,1,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15960
55,10,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,0.0075,,0.01,,0.0075,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15955
56,9,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15953
57,1,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,3.0,,3.0,,3.0,,3.0,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15927
58,13,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,24.0,,25.5,,27.0,,25.5,,0,0,1,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15963
59,11,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,15,,0.02,,15,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15959
60,7,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,4,0,,13.0,,17.75,,26.0,,16.0,,1,1,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15945
61,10,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,0.5,,0.5,,0.5,,0.5,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15954
62,6,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,15.0,,15.5,,16.0,,15.5,,0,1,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15942
63,11,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,4.0,,4.5,,5.0,,4.5,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15957
64,9,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15952
65,13,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.02,,0.03,,0.02,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15965
66,8,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,10,0,,7.0,,10.4,,17.0,,9.3,,,,,,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15948
67,9,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,2.0,,3.0,,4.0,,3.0,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15951
68,25,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/spatialIdUpdate01.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",24764
69,23,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/spatialIdUpdate01.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",24755
70,23,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/spatialIdUpdate01.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",24754
71,24,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/spatialIdUpdate01.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",24779
72,24,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/spatialIdUpdate01.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",24778
73,23,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,7.0,,7.0,,7.0,,7.0,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/spatialIdUpdate01.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",24753
74,25,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/spatialIdUpdate01.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",24762
75,25,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,36.0,,39.0,,42.0,,39.0,,0,0,1,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/spatialIdUpdate01.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",24763
76,24,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,4.0,,5.0,,6.0,,5.0,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/spatialIdUpdate01.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",24777
